영역,유형,표준점수,남자,여자
국어,국어,149,15,13
국어,국어,147,18,15
국어,국어,146,38,29
국어,국어,145,68,45
국어,국어,144,98,56
국어,국어,143,194,138
국어,국어,142,155,102
국어,국어,141,331,213
국어,국어,140,228,135
국어,국어,139,504,353
국어,국어,138,516,387
국어,국어,137,537,418
국어,국어,136,856,588
국어,국어,135,883,744
국어,국어,134,1172,963
국어,국어,133,1232,818
국어,국어,132,1541,1172
국어,국어,131,1807,1532
국어,국어,130,1517,1167
국어,국어,129,2249,1832
국어,국어,128,2571,2249
국어,국어,127,2070,1862
국어,국어,126,2729,2475
국어,국어,125,2924,2564
국어,국어,124,3262,3090
국어,국어,123,2640,2443
국어,국어,122,3547,3541
국어,국어,121,4034,3773
국어,국어,120,3052,3172
국어,국어,119,4236,4221
국어,국어,118,3854,3879
국어,국어,117,4223,4458
국어,국어,116,3951,4265
국어,국어,115,3799,3838
국어,국어,114,4621,4994
국어,국어,113,4390,4854
국어,국어,112,3700,4117
국어,국어,111,4334,4771
국어,국어,110,4450,5202
국어,국어,109,4273,4917
국어,국어,108,3573,3845
국어,국어,107,4735,5290
국어,국어,106,4203,4697
국어,국어,105,4071,4638
국어,국어,104,4039,4468
국어,국어,103,4044,4372
국어,국어,102,3801,4382
국어,국어,101,3800,4160
국어,국어,100,3673,3837
국어,국어,99,3875,4385
국어,국어,98,3744,4088
국어,국어,97,3206,3340
국어,국어,96,3627,3765
국어,국어,95,3459,3729
국어,국어,94,2981,3045
국어,국어,93,3184,3232
국어,국어,92,3377,3525
국어,국어,91,2817,2914
국어,국어,90,2770,2728
국어,국어,89,3136,3289
국어,국어,88,2681,2659
국어,국어,87,2912,2900
국어,국어,86,2465,2574
국어,국어,85,2637,2454
국어,국어,84,2528,2448
국어,국어,83,2368,2266
국어,국어,82,2487,2226
국어,국어,81,2325,2180
국어,국어,80,2209,1988
국어,국어,79,2254,1901
국어,국어,78,2240,1960
국어,국어,77,2222,2030
국어,국어,76,2092,1686
국어,국어,75,2156,1856
국어,국어,74,2156,1705
국어,국어,73,1955,1574
국어,국어,72,2214,1761
국어,국어,71,1960,1552
국어,국어,70,1869,1362
국어,국어,69,2000,1420
국어,국어,68,2185,1515
국어,국어,67,1840,1270
국어,국어,66,2015,1365
국어,국어,65,1905,1224
국어,국어,64,2075,1256
국어,국어,63,2507,1327
국어,국어,62,1699,1052
국어,국어,61,1359,877
국어,국어,60,1372,790
국어,국어,59,937,573
국어,국어,58,879,543
국어,국어,57,971,617
국어,국어,56,747,469
국어,국어,55,738,386
국어,국어,54,637,381
국어,국어,53,376,214
국어,국어,52,302,189
국어,국어,51,275,162
국어,국어,50,202,117
국어,국어,49,128,82
국어,국어,48,116,81
국어,국어,47,90,54
국어,국어,46,68,52
국어,국어,45,24,11
국어,국어,44,28,26
국어,국어,43,18,13
국어,국어,42,21,22
국어,국어,41,1,5
국어,국어,40,17,16
국어,국어,39,5,4
국어,국어,38,52,22
국어,국어,37,123,53
수학,수학,147,2163,539
수학,수학,146,21,3
수학,수학,145,173,31
수학,수학,144,2735,785
수학,수학,143,6,0
수학,수학,142,126,30
수학,수학,141,2451,858
수학,수학,140,1103,353
수학,수학,139,135,25
수학,수학,138,978,392
수학,수학,137,3687,1437
수학,수학,136,161,53
수학,수학,135,1559,664
수학,수학,134,4287,1797
수학,수학,133,160,66
수학,수학,132,786,320
수학,수학,131,5846,2867
수학,수학,130,737,303
수학,수학,129,902,383
수학,수학,128,3837,2163
수학,수학,127,3251,1775
수학,수학,126,1552,783
수학,수학,125,4280,2830
수학,수학,124,2984,1686
수학,수학,123,701,357
수학,수학,122,5021,3663
수학,수학,121,3580,2092
수학,수학,120,1287,756
수학,수학,119,3094,2119
수학,수학,118,5293,4109
수학,수학,117,1766,1232
수학,수학,116,3918,3019
수학,수학,115,3918,3469
수학,수학,114,1820,1145
수학,수학,113,5039,4514
수학,수학,112,3924,3534
수학,수학,111,2028,1386
수학,수학,110,3307,2795
수학,수학,109,5014,5131
수학,수학,108,2883,2477
수학,수학,107,3792,3596
수학,수학,106,3058,3124
수학,수학,105,2465,2150
수학,수학,104,5330,5668
수학,수학,103,2639,2601
수학,수학,102,2680,2700
수학,수학,101,2952,3212
수학,수학,100,3840,4412
수학,수학,99,3335,3494
수학,수학,98,2749,3026
수학,수학,97,2432,2548
수학,수학,96,3675,4708
수학,수학,95,2935,3134
수학,수학,94,2763,2997
수학,수학,93,2525,3080
수학,수학,92,2243,2640
수학,수학,91,3812,4929
수학,수학,90,2721,3154
수학,수학,89,2209,2551
수학,수학,88,2489,3096
수학,수학,87,3434,4489
수학,수학,86,2821,3334
수학,수학,85,2527,2964
수학,수학,84,2328,2786
수학,수학,83,4242,5558
수학,수학,82,2966,3292
수학,수학,81,2999,3600
수학,수학,80,3765,3877
수학,수학,79,3387,4030
수학,수학,78,7497,8554
수학,수학,77,3148,3598
수학,수학,76,2996,3525
수학,수학,75,3177,3948
수학,수학,74,4972,6296
수학,수학,73,5057,5845
수학,수학,72,2091,2498
수학,수학,71,2137,2706
수학,수학,70,2545,3228
수학,수학,69,1139,1444
수학,수학,68,850,1014
수학,수학,67,334,486
수학,수학,66,337,387
수학,수학,65,528,604
수학,수학,64,41,9
수학,수학,63,251,240
사회탐구,생활과 윤리,66,1418,2533
사회탐구,생활과 윤리,64,3145,6673
사회탐구,생활과 윤리,63,35,69
사회탐구,생활과 윤리,62,950,1836
사회탐구,생활과 윤리,61,2913,6607
사회탐구,생활과 윤리,60,1773,3718
사회탐구,생활과 윤리,59,1923,4195
사회탐구,생활과 윤리,58,550,1070
사회탐구,생활과 윤리,57,1623,3280
사회탐구,생활과 윤리,56,1899,4158
사회탐구,생활과 윤리,55,1311,2662
사회탐구,생활과 윤리,54,833,1607
사회탐구,생활과 윤리,53,2247,4277
사회탐구,생활과 윤리,52,845,1714
사회탐구,생활과 윤리,51,1128,2423
사회탐구,생활과 윤리,50,923,1828
사회탐구,생활과 윤리,49,2123,4165
사회탐구,생활과 윤리,48,992,1857
사회탐구,생활과 윤리,47,1201,2308
사회탐구,생활과 윤리,46,1061,1928
사회탐구,생활과 윤리,45,2261,4164
사회탐구,생활과 윤리,44,1037,1834
사회탐구,생활과 윤리,43,1135,1954
사회탐구,생활과 윤리,42,1059,1688
사회탐구,생활과 윤리,41,2091,3495
사회탐구,생활과 윤리,40,974,1601
사회탐구,생활과 윤리,39,1094,1641
사회탐구,생활과 윤리,38,914,1384
사회탐구,생활과 윤리,37,2250,3008
사회탐구,생활과 윤리,36,940,1194
사회탐구,생활과 윤리,35,848,1024
사회탐구,생활과 윤리,34,832,958
사회탐구,생활과 윤리,33,2458,2155
사회탐구,생활과 윤리,32,1417,1382
사회탐구,생활과 윤리,31,315,346
사회탐구,생활과 윤리,30,327,300
사회탐구,생활과 윤리,29,265,283
사회탐구,생활과 윤리,28,108,136
사회탐구,생활과 윤리,26,61,59
사회탐구,윤리와 사상,68,57,119
사회탐구,윤리와 사상,67,9,40
사회탐구,윤리와 사상,66,357,852
사회탐구,윤리와 사상,65,2,4
사회탐구,윤리와 사상,64,760,1640
사회탐구,윤리와 사상,63,18,64
사회탐구,윤리와 사상,62,334,778
사회탐구,윤리와 사상,61,598,1467
사회탐구,윤리와 사상,60,387,932
사회탐구,윤리와 사상,59,250,630
사회탐구,윤리와 사상,58,426,1094
사회탐구,윤리와 사상,57,142,287
사회탐구,윤리와 사상,56,160,394
사회탐구,윤리와 사상,55,267,620
사회탐구,윤리와 사상,54,122,288
사회탐구,윤리와 사상,53,106,280
사회탐구,윤리와 사상,52,236,560
사회탐구,윤리와 사상,51,123,249
사회탐구,윤리와 사상,50,115,302
사회탐구,윤리와 사상,49,295,685
사회탐구,윤리와 사상,48,174,379
사회탐구,윤리와 사상,47,173,364
사회탐구,윤리와 사상,46,416,857
사회탐구,윤리와 사상,45,237,566
사회탐구,윤리와 사상,44,243,510
사회탐구,윤리와 사상,43,606,1068
사회탐구,윤리와 사상,42,348,604
사회탐구,윤리와 사상,41,432,657
사회탐구,윤리와 사상,40,1167,1342
사회탐구,윤리와 사상,39,348,515
사회탐구,윤리와 사상,38,372,463
사회탐구,윤리와 사상,37,538,765
사회탐구,윤리와 사상,36,223,290
사회탐구,윤리와 사상,35,470,452
사회탐구,윤리와 사상,34,257,293
사회탐구,윤리와 사상,33,25,38
사회탐구,윤리와 사상,32,44,64
사회탐구,윤리와 사상,31,18,32
사회탐구,한국지리,65,1035,755
사회탐구,한국지리,64,967,981
사회탐구,한국지리,63,643,554
사회탐구,한국지리,62,1366,1592
사회탐구,한국지리,61,375,359
사회탐구,한국지리,60,1219,1537
사회탐구,한국지리,59,264,295
사회탐구,한국지리,58,543,659
사회탐구,한국지리,57,708,907
사회탐구,한국지리,56,470,581
사회탐구,한국지리,55,290,359
사회탐구,한국지리,54,653,778
사회탐구,한국지리,53,258,301
사회탐구,한국지리,52,323,425
사회탐구,한국지리,51,550,689
사회탐구,한국지리,50,355,416
사회탐구,한국지리,49,312,368
사회탐구,한국지리,48,693,857
사회탐구,한국지리,47,334,423
사회탐구,한국지리,46,788,938
사회탐구,한국지리,45,468,507
사회탐구,한국지리,44,439,513
사회탐구,한국지리,43,855,1060
사회탐구,한국지리,42,490,511
사회탐구,한국지리,41,495,561
사회탐구,한국지리,40,1003,1043
사회탐구,한국지리,39,492,507
사회탐구,한국지리,38,489,501
사회탐구,한국지리,37,1214,987
사회탐구,한국지리,36,917,591
사회탐구,한국지리,35,308,271
사회탐구,한국지리,34,521,457
사회탐구,한국지리,33,124,93
사회탐구,한국지리,32,209,162
사회탐구,한국지리,31,44,22
사회탐구,한국지리,30,47,37
사회탐구,한국지리,29,23,12
사회탐구,세계지리,66,940,675
사회탐구,세계지리,64,1060,972
사회탐구,세계지리,63,551,484
사회탐구,세계지리,62,408,448
사회탐구,세계지리,61,810,862
사회탐구,세계지리,60,258,277
사회탐구,세계지리,59,673,761
사회탐구,세계지리,58,242,307
사회탐구,세계지리,57,301,325
사회탐구,세계지리,56,494,511
사회탐구,세계지리,55,224,240
사회탐구,세계지리,54,484,507
사회탐구,세계지리,53,196,234
사회탐구,세계지리,52,500,471
사회탐구,세계지리,51,181,224
사회탐구,세계지리,50,220,260
사회탐구,세계지리,49,462,496
사회탐구,세계지리,48,215,285
사회탐구,세계지리,47,555,638
사회탐구,세계지리,46,292,287
사회탐구,세계지리,45,311,366
사회탐구,세계지리,44,697,691
사회탐구,세계지리,43,391,412
사회탐구,세계지리,42,820,908
사회탐구,세계지리,41,626,636
사회탐구,세계지리,40,409,410
사회탐구,세계지리,39,931,922
사회탐구,세계지리,38,341,359
사회탐구,세계지리,37,699,726
사회탐구,세계지리,36,495,324
사회탐구,세계지리,35,426,369
사회탐구,세계지리,34,150,132
사회탐구,세계지리,33,77,62
사회탐구,세계지리,32,82,71
사회탐구,세계지리,30,33,15
사회탐구,동아시아사,66,677,554
사회탐구,동아시아사,65,134,98
사회탐구,동아시아사,64,780,697
사회탐구,동아시아사,63,25,20
사회탐구,동아시아사,62,852,754
사회탐구,동아시아사,61,68,87
사회탐구,동아시아사,60,384,332
사회탐구,동아시아사,59,346,314
사회탐구,동아시아사,58,461,514
사회탐구,동아시아사,57,199,199
사회탐구,동아시아사,56,227,210
사회탐구,동아시아사,55,450,447
사회탐구,동아시아사,54,250,251
사회탐구,동아시아사,53,207,186
사회탐구,동아시아사,52,214,214
사회탐구,동아시아사,51,436,450
사회탐구,동아시아사,50,223,231
사회탐구,동아시아사,49,231,237
사회탐구,동아시아사,48,477,510
사회탐구,동아시아사,47,266,295
사회탐구,동아시아사,46,229,242
사회탐구,동아시아사,45,524,614
사회탐구,동아시아사,44,255,285
사회탐구,동아시아사,43,294,322
사회탐구,동아시아사,42,286,309
사회탐구,동아시아사,41,568,628
사회탐구,동아시아사,40,272,283
사회탐구,동아시아사,39,354,335
사회탐구,동아시아사,38,600,602
사회탐구,동아시아사,37,340,347
사회탐구,동아시아사,36,175,187
사회탐구,동아시아사,35,322,332
사회탐구,동아시아사,34,142,134
사회탐구,동아시아사,33,115,102
사회탐구,동아시아사,32,56,47
사회탐구,동아시아사,31,92,90
사회탐구,동아시아사,30,8,11
사회탐구,동아시아사,29,19,11
사회탐구,동아시아사,28,12,2
사회탐구,세계사,66,762,338
사회탐구,세계사,64,777,445
사회탐구,세계사,63,173,177
사회탐구,세계사,62,534,418
사회탐구,세계사,61,240,198
사회탐구,세계사,60,411,322
